Title,Mood,Genre,Type,Length,IMDB_link
"Wonder Woman	",Fearless,Fiction,Mainstream,Feature,https://www.imdb.com/title/tt0451279/?ref_=fn_al_tt_1
Annihilation,Adventurous,Fiction,Mainstream,Feature,
"About Love	",Love,Documentary,Independent,Feature,
